Id,SalePrice
1461,118754.5983
1462,155565.388
1463,169316.7715
1464,174825.4808
1465,192759.0577
1466,181233.1446
1467,169883.7601
1468,177078.8831
1469,181614.071
1470,119098.2032
1471,184122.4398
1472,92830.59444
1473,95574.66567
1474,152404.7222
1475,150743.6048
1476,384546.612
1477,255108.3106
1478,324218.9596
1479,288661.5513
1480,485958.8652
1481,326161.4304
1482,227431.7972
1483,179486.2229
1484,178275.6449
1485,162083.8092
1486,208927.538
1487,364848.1931
1488,244667.9591
1489,199156.588
1490,191346.7949
1491,189582.8855
1492,107081.6993
1493,177275.7116
1494,301559.2459
1495,296950.0538
1496,216206.9531
1497,195844.589
1498,150045.0402
1499,150045.0402
1500,152209.64
1501,173320.5503
1502,144518.8413
1503,283898.0739
1504,233850.5611
1505,213784.7739
1506,215291.9348
1507,203969.6861
1508,182468.0084
1509,162930.302
1510,151838.0323
1511,151985.0884
1512,161218.5651
1513,161971.1588
1514,142115.8071
1515,164319.1776
1516,155616.7691
1517,146398.5487
1518,145920.7593
1519,209377.6201
1520,134130.0489
1521,148443.5095
1522,193432.5633
1523,119473.4596
1524,126381.4112
1525,124777.0789
1526,127569.6697
1527,83672.62349
1528,120352.5864
1529,148346.9036
1530,151125.36
1531,115558.3756
1532,106745.8387
1533,152049.9016
1534,119733.8602
1535,138665.1863
1536,115933.0596
1537,72509.23213
1538,167147.4358
1539,192493.8607
1540,131805.5452
1541,147741.594
1542,138242.4288
1543,226364.2198
1544,82683.99765
1545,98042.71976
1546,123515.1568
1547,119105.1053
1548,129694.8533
1549,91298.90322
1550,138845.627
1551,115069.0134
1552,120108.6975
1553,133742.7698
1554,121410.2412
1555,150391.5159
1556,113928.1625
1557,134108.0244
1558,91930.73638
1559,116568.2224
1560,139015.7279
1561,146224.5187
1562,115003.6496
1563,126494.0873
1564,173611.9503
1565,144193.0051
1566,178881.4844
1567,79522.31307
1568,182622.5923
1569,113796.3451
1570,115332.8694
1571,127900.6442
1572,137957.0914
1573,221419.5791
1574,166148.3071
1575,186063.2936
1576,195082.6315
1577,198664.7826
1578,139072.3531
1579,137147.1275
1580,184308.7804
1581,135701.0473
1582,124704.6259
1583,335106.7979
1584,249781.1602
1585,138645.7683
1586,64965.13359
1587,101266.3302
1588,150617.9456
1589,111059.3942
1590,142157.5481
1591,107685.0879
1592,126583.9101
1593,124074.5413
1594,127079.7796
1595,138365.5807
1596,257833.8488
1597,155909.9263
1598,175999.5921
1599,175023.3678
1600,185928.8192
1601,53853.26501
1602,99327.5532
1603,93121.10491
1604,283449.4466
1605,252551.1503
1606,163370.0552
1607,213090.5906
1608,209651.2687
1609,198736.604
1610,165708.8707
1611,148789.3103
1612,193901.563
1613,178937.386
1614,119826.1786
1615,76556.47425
1616,76556.47425
1617,80511.95564
1618,127594.0259
1619,133643.4021
1620,190399.9933
1621,143483.2186
1622,132712.571
1623,261635.8587
1624,193317.7432
1625,119657.3322
1626,177588.2569
1627,175426.212
1628,270505.0684
1629,174047.956
1630,336346.257
1631,242480.9009
1632,268749.6063
1633,161573.7651
1634,176184.9751
1635,176780.4322
1636,169855.7235
1637,165674.6596
1638,206782.6723
1639,189734.3556
1640,262949.6457
1641,189609.6631
1642,217016.1047
1643,247045.1733
1644,228355.8476
1645,169326.3746
1646,153942.5585
1647,145716.003
1648,152421.1435
1649,136997.6949
1650,119600.4201
1651,118024.9941
1652,93068.77431
1653,93237.94246
1654,157005.769
1655,155878.4294
1656,152679.0058
1657,156508.2224
1658,152081.6365
1659,146631.884
1660,142717.3251
1661,487360.0653
1662,384147.6194
1663,373984.2487
1664,496718.5461
1665,361831.698
1666,251979.2794
1667,356723.433
1668,361710.7957
1669,295137.29
1670,334890.2245
1671,240249.8602
1672,467755.636
1673,308226.572
1674,245474.2226
1675,188444.4209
1676,185182.4328
1677,210665.0054
1678,477976.5555
1679,360122.973
1680,314836.6119
1681,284693.7844
1682,276374.9566
1683,182233.0386
1684,177311.6
1685,174612.1731
1686,187077.5421
1687,162083.8092
1688,183196.4255
1689,186670.4245
1690,181406.4999
1691,160399.6885
1692,256563.6023
1693,162083.8092
1694,179771.719
1695,168586.0033
1696,264746.3076
1697,164753.6274
1698,353707.5074
1699,344306.8692
1700,249983.1248
1701,261459.9334
1702,273495.5252
1703,277658.8837
1704,265350.1486
1705,265900.4001
1706,473227.5932
1707,213311.6084
1708,208660.2618
1709,271567.2645
1710,240695.492
1711,240915.5763
1712,273164.7051
1713,232586.4433
1714,223169.3756
1715,188913.8356
1716,191462.0613
1717,175509.8076
1718,140120.5966
1719,209216.1797
1720,251221.3358
1721,167125.0815
1722,126616.4253
1723,160322.734
1724,207547.881
1725,236740.0563
1726,196625.1027
1727,177772.5568
1728,179520.8782
1729,166185.6459
1730,153327.6456
1731,133352.9814
1732,126022.6996
1733,123696.3274
1734,131158.395
1735,117556.8368
1736,117940.2914
1737,320190.7834
1738,198318.075
1739,312018.4804
1740,201109.4278
1741,169802.5353
1742,173320.5503
1743,173834.9209
1744,254071.2053
1745,249332.8989
1746,224560.9603
1747,203771.0183
1748,190342.6081
1749,163816.9538
1750,153721.6573
1751,224122.8853
1752,125096.1333
1753,170312.6602
1754,231847.9371
1755,164887.3303
1756,116560.7461
1757,123012.2898
1758,138319.5017
1759,144785.1762
1760,158102.1588
1761,162836.3612
1762,156964.001
1763,192468.3544
1764,123608.3171
1765,182514.1768
1766,167335.7246
1767,182765.7926
1768,135051.5411
1769,150222.7645
1770,131204.2572
1771,146014.2463
1772,155571.8348
1773,133204.1473
1774,153633.0452
1775,136296.5269
1776,123230.2526
1777,112009.6547
1778,125769.1744
1779,115841.1119
1780,166635.3259
1781,137722.4953
1782,82146.55804
1783,129213.2373
1784,80789.76196
1785,112713.7511
1786,138464.3844
1787,158113.1393
1788,53863.92316
1789,109908.9848
1790,67143.40277
1791,195028.0092
1792,157337.7153
1793,146873.361
1794,134897.3564
1795,143672.5954
1796,126640.6074
1797,128278.5668
1798,129606.628
1799,112441.4362
1800,128942.5769
1801,115328.3015
1802,158576.8698
1803,158616.4302
1804,136830.8587
1805,136751.7218
